[2016-11-16 14:30:45.619] [ERROR] admin - #########======>>pull Topic Error :connect ECONNREFUSED 106.75.20.242:80
[2016-11-16 15:32:53.740] [ERROR] admin - #########======3>>pull Video Topic Error :connect ETIMEDOUT 106.75.20.242:80
[2016-11-16 15:52:54.570] [ERROR] admin - #########======3>>pull Video Topic Error :connect ETIMEDOUT 106.75.20.242:80
[2016-12-14 18:13:24.850] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:14:13.940] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:14:55.009] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:15:33.640] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:16:08.732] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:16:43.283] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:18:00.157] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:18:17.795] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:18:44.314] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:19:39.491] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:20:23.360] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:21:23.605] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:24:11.009] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:25:16.409] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-14 18:25:35.421] [ERROR] admin - getTopicList Error : result is not defined
[2016-12-15 09:53:43.285] [ERROR] admin - getStoryDetails Error : Cast to ObjectId failed for value ":5842e04b6c9d11f509a50147" at path "_id" for model "story"
[2016-12-15 09:53:47.692] [ERROR] admin - getStoryDetails Error : Cast to ObjectId failed for value ":5842dec96c9d11f509a50144" at path "_id" for model "story"
[2016-12-15 09:54:42.377] [ERROR] admin - getStoryDetails Error : Cast to ObjectId failed for value ":5842dffd6c9d11f509a50146" at path "_id" for model "story"
[2016-12-15 10:04:38.057] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: {}, sort: { release_date: -1 }, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:44.720] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 20, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:45.018] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 20, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:45.319] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 40, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:45.621] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 60, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:45.925] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 80, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:46.225] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 100, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:46.529] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 120, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:46.827] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 140, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:47.129] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 160, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:47.431] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 180, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:48.029] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 200, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:48.329] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 220, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:48.629] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 240, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:48.935] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 260, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:50.737] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 280, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:51.032] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 300, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:51.334] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 320, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:51.635] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 340, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:59.524] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 360, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:04:59.826] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 20, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:00.130] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 40, limit: "20" }. 'limit' field must be numeric.
